"Ligand","Receptor","Score"
"1","HMGB1","ITGB2",3.19954302908224
"2","HLA-A","RPSA",2.34910885527157
"3","CCL5","CXCR4",2.19045703945484
"4","HMGB1","TLR2",2.14544404265484
"5","CCL5","C5AR1",1.98487544257232
"6","HMGB1","ITGB1",1.85648139753111
"7","CCL5","FPR1",1.80501998934216
"8","HMGB1","LY96",1.69667408187161
"9","CCL5","C3AR1",1.68943948153749
"10","CCL5","ITGB2",1.57113379724359
"11","CCL5","ADORA3",1.55836968246778
"12","CCL5","CD4",1.45663364171303
"13","CCL5","P2RY12",1.41856054401089
"14","HMGB1","ITGAM",1.39223292954308
"15","LRPAP1","RPSA",1.35102916660172
"16","HMGB1","TLR1",1.30756362668277
"17","HMGB1","TLR4",1.30487495841941
"18","CCL5","CCR1",1.25349364485649
"19","ADAM17","TNFRSF1B",1.19281903490273
"20","CCL5","TLR2",1.15129990896905
"21","HMGB1","AGTRAP",1.08222016387361
"22","PKD1","ATP5B",1.04084852764237
"23","ADAM17","AXL",1.02861473522881
"24","ADAM17","CD4",0.982706781641966
"25","CCL5","P2RY13",0.954150515684538
"26","IL10","IL10RA",0.944963943544394
"27","TNFSF14","TNFRSF14",0.888604605707863
"28","CCL5","ITGB1",0.887241677096327
"29","TNFSF15","TNFRSF25",0.874656107471516
"30","LRPAP1","LRP1",0.860875041996004
"31","CCL5","TNFRSF1A",0.851246872621155
"32","IL10","IL10RB",0.831647980925481
"33","PIK3CB","TREM2",0.813198068878826
"34","PKD1","PKD2",0.803815045851108
"35","LRPAP1","SORL1",0.787208098352313
"36","CCL5","CCR5",0.786685278959833
"37","HMGB1","ITGAV",0.77617803721559
"38","CCL5","LPAR5",0.775461092894214
"39","ADAM17","TNFRSF1A",0.77330038486808
"40","PIK3CB","FCGR3A",0.764190189690753
"41","PIK3CB","FCGR2A",0.756029642844205
"42","FGF5","FCGR3A",0.75482142022162
"43","ADAM17","ITGB1",0.734910742508272
"44","ADAM17","IL6R",0.716428349699828
"45","ICAM1","SPN",0.700557947828005
"46","LRPAP1","M6PR",0.695345375503575
"47","ADAM17","TNFRSF10B",0.692814945190496
"48","CCL5","ITGAM",0.678910269071399
"49","CXCL16","CXCR4",0.668675349393268
"50","ADAM17","ADIPOR1",0.662882826632485
